district,state,homepage,index_score,tier,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,evidence_public_ai_policy_exists,ai_use_publicly_disclosed,evidence_ai_use_publicly_disclosed,oversight_named,evidence_oversight_named,board_policy_mentions_ai,evidence_board_policy_mentions_ai,public_contact_available,evidence_public_contact_available
Los Angeles Unified School District,CA,https://achieve.lausd.net/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
San Diego Unified School District,CA,https://sandiegounified.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Fresno Unified School District,CA,https://www.fresnounified.org/,75,Emerging Governance,https://www.fresnounified.org/departments/ama/fusd-accountability-policy,,,Timed out (district budget exceeded),4,1,me a Substitute Duty Year Calendars HR FAQs HR Manual Negotiation News Payroll FAQs Staff Directory Salary Schedules Information Technology Acceptable Use Policy Artificial Intelligence (AI) AI Guidance AI Guidebook AI Literacy AI Governance ATLAS Approved Device List (Beta) Educ…,0,,1,rt Cards (SARC) i-Ready FUSD Accountability Policy Requests to Conduct Research Board Communication BC's Archived Student Assessments Staff Directory AMA Internal Staff Website Arts Education Athletics Academic Eligibility Guidelines Contacts Mission and Vision Title IX Complianc…,1,Duty Year Calendars HR FAQs HR Manual Negotiation News Payroll FAQs Staff Directory Salary Schedules Information Technology Acceptable Use Policy Artificial Intelligence (AI) AI Guidance AI Guidebook AI Literacy AI Governance ATLAS Approved Device List (Beta) Educational Technolo…,1,y Report Cards (SARC) i-Ready FUSD Accountability Policy Requests to Conduct Research Board Communication BC's Archived Student Assessments Staff Directory AMA Internal Staff Website Arts Education Athletics Academic Eligibility Guidelines Contacts Mission and Vision Title IX Com…
Elk Grove Unified School District,CA,https://www.egusd.net/,30,Minimal Transparency,https://www.egusd.net/District/About-EGUSD/Board-of-Education/,,,"Missing: tech, contact (crawl limited)",2,0,,0,,1,ol-Connected Organizations Translation Services Volunteering/Fingerprinting Job/Career Opportunities Synergy About EGUSD Board of Education Superintendent Community Departments Accounting Adult and Community Education Athletics/Facilities Use Behavioral Health and Counseling Serv…,0,,1,"one or more of these actual or perceived characteristics. For questions or complaints concerning student against student incidents, please contact: Jenifer Avey, Assistant Superintendent, Elementary Education/Title IX Coordinator - 9510 Elk Grove Florin Road, Elk Grove, CA 95624,…"
Long Beach Unified School District,CA,https://www.lbschools.net/,30,Minimal Transparency,https://www.lbschools.net/about/cellphone-policy/home,,,"Missing: tech, contact (crawl limited)",2,0,,0,,1,Administrative Assignments ☍ (opens in new window/tab) LBUSD Community Visioning District Area Map Superintendent Superintendent of Schools Superintendent's Goals Superintendent's Student Advisory Committee Learning Acceleration & Support Plan Annual Reports Deputy Superintendent…,0,,1,"nd removing barriers to student success in a school system that is equitable, affirming, and forward thinking. Learn more about Vision 2035 Contact Us 1515 Hughes Way Long Beach CA 90810 Map / Directions (562) 997-8000 Student Support Social & Emotional Support Say Something, Rep…"
San Francisco Unified School District,CA,https://www.sfusd.edu/,30,Minimal Transparency,https://www.sfusd.edu/services/family-supports-services/immigration-policy-resources,,https://www.sfusd.edu/about-sfusd/contact-us,Missing: tech (crawl limited),2,0,,0,,1,"Transitional Kindergarten Announcements Link to this section Welcome Back to School Originally posted on Feb. 18: As SFUSD schools reopen, Superintendent Dr. Maria Su shares a message of unity, healing, and collaboration in support of students. Posted on February 19, 2026 SF Boar…",0,,1,ing employees Budget & LCAP Learn how budgets and the Local Control and Accountability Plan are created News Read about what's new at SFUSD Contact Us Find out how to submit a records request or contact departments and schools Schools Enroll in Early Education Learn when and how …
San Juan Unified School District,CA,https://www.sanjuan.edu/,30,Minimal Transparency,https://www.sanjuan.edu/our-district/policies-required-notices,,,"Missing: tech, contact (crawl limited)",2,0,,0,,1,d Introducing Our Board Board Meeting Dates Board Agendas and Minutes Public Participation Board Policies Governance Handbook Trustee Areas Superintendent Superintendent's Parent Advisory Committee (SPAC) Superintendent's Cabinet Superintendent's Student Advisory Council (SSAC) E…,0,,1,Association (SJTA) Teamsters San Juan Teacher Residency Substitutes and Guest Teachers Certificated Classified Connect Contact Information Staff Directory Communication Tools Mass Notification System Mobile App Privacy Policy San Juan Scene Newsletter Share Your News Social Media…
Corona-Norco Unified School District,CA,https://www.cnusd.k12.ca.us/,30,Minimal Transparency,https://www.cnusd.k12.ca.us/about_us/board_of_education/board_policy,,https://www.cnusd.k12.ca.us/about_us/school_directory,Missing: tech (crawl limited),2,0,,0,,1,K]## Home About Us Our District Board of Education Board Agendas Board Policy Board Meeting Videos Trustee Area Map Meeting Code of Conduct Superintendent Search Superintendent's Office Commitment to Diversity & Equity District Office Employees of the Quarter Executive Cabinet St…,0,,1,Strategic Plan District Map Enrollment & Registration LCAP Military Recognition Program School Calendars & Bell Schedules School Directory Staff Directory Student Programs After School Programs Career Technical Education College Credit Opportunities Dual Enrollment Dual Language …
San Bernardino City Unified School District,CA,https://www.sbcusd.com/,30,Minimal Transparency,https://www.sbcusd.com/departments/educational-services-division/accountability-educational-technology/technology-policies-and-guidelines,https://www.sbcusd.com/departments/educational-services-division/accountability-educational-technology/technology-policies-and-guidelines,https://www.sbcusd.com/departments/business-services-division/information-technology/staff-listing,,2,0,,0,,1,ars Training Registration Quick Reference Guides Training Videos Google Workspace Support Applications Client Services Infrastructure Staff Directory Nutrition Services (opens in new window/tab) Payroll Important Phone Numbers Assigned Payroll Technicians Purchasing Bids and Requ…,0,,1,Calendars Training Registration Quick Reference Guides Training Videos Google Workspace Support Applications Client Services Infrastructure Staff Directory Nutrition Services (opens in new window/tab) Payroll Important Phone Numbers Assigned Payroll Technicians Purchasing Bids an…
Capistrano Unified School District,CA,https://www.capousd.org/,10,No Public AI Governance Signals,https://www.capousd.org/District/Board/Board-Policies/Article-2-Administration/index.html,,https://www.capousd.org/District/Board/Board-Policies/Article-2-Administration/index.html,Missing: tech (crawl limited),1,0,,0,,0,,0,,1,dars District Communications Budget & LCAP LCAP Documents & Goals LCAP Questions and Answers Funding Overview Non-Discrimination Complaints Contact Us Title IX Board Board Members Meet Our Board Members Invite Us Trustee Compensation Board Meetings Board Meetings Overview 2025-26…
Oakland Unified School District,CA,https://www.ousd.org/,30,Minimal Transparency,https://www.ousd.org/board-of-ed/contact-boe-staff,,https://www.ousd.org/board-of-ed/contact-boe-staff,Missing: tech (crawl limited),2,0,,0,,1,Home - Oakland Unified School District Skip To Main Content Close Menu Search Clear Search About Us Meet Our Employees Meet Our Superintendent Honoring Our Own Employee Recognition District Calendar OUSD Fast Facts (opens in new window/tab) Local Control and Accountability Plan (…,0,,1,ocuments for Enrollment Preschool Eligibility and Enrollment Kindergarten Readiness Programs Family Resources Educator Resources Who We Are Contact ECE Schools & Office Grade Eligibility Calculator TK - 12 Transitional Kindergarten Hub Transitional Kindergarten (TK) Programs Enro…
Clovis Unified School District,CA,https://www.cusd.com/,30,Minimal Transparency,https://www.cusd.com/cusd-policies,,https://www.cusd.com/department-directory,Missing: tech (crawl limited),2,0,,0,,1,"Board Board Agendas, Meetings & Archives Board Policies Jobs at CUSD Contact Us Contact Us Staff Directory/Organizational Chart Department Directory Maps Policies PARENTS My Student Community Eligibility Provision Bus Information Campus Catering Community Advisory Committee (CAC)…",0,,1,"rs 2025-26 School Year Governing Board About the Board Board Agendas, Meetings & Archives Board Policies Jobs at CUSD Contact Us Contact Us Staff Directory/Organizational Chart Department Directory Maps Policies PARENTS My Student Community Eligibility Provision Bus Information C…"
Twin Rivers Unified School District,CA,https://www.trusd.net/,10,No Public AI Governance Signals,https://www.trusd.net/Our-District/Board/Board-Policies/index.html,,https://www.trusd.net/Staff-Room-Login/,Missing: tech (crawl limited),1,0,,0,,0,,0,,1,"istrict Superintendent's Office Superintendent Organization Structure About Us 2024-25 Districtwide School Boundaries State of the District Contact Us District Goals District Map Mission, Vision and Core Beliefs Our Schools Points of Pride Board Adjustment of Trustee Boundary Are…"
Kern High School District,CA,https://www.kernhigh.org/,30,Minimal Transparency,,,https://www.kernhigh.org/apps/contact/,"Missing: policy, tech (crawl limited)",2,0,,0,,1,Kern High School District Skip to main content Kern High School District Main Menu Toggle About About Us Office of the Superintendent Public Information Office Local Control Accountability Plan School Accountability Report Cards Contact Us Board KHSD Trustees KHSD Trustee Areas B…,0,,1,"hone: (661) 827-3100 Footer Links About Us News Prepared to Succeed Nondiscrimination Policies (Title IX/Sexual Harassment) 504 Coordinator Staff Directory Footer Statement The Kern High School District (KHSD) is committed to ensuring equal, fair, and meaningful access to employm…"
Sacramento City Unified School District,CA,https://www.scusd.edu/,30,Minimal Transparency,https://www.scusd.edu/about/our-policies,,https://www.scusd.edu/staff,Missing: tech (crawl limited),2,0,,0,,1,"ignation of Superintendent Lisa Allen 2 . 5 . 2026 Learn More about PRESS RELEASE: SCUSD Board of Education Statement on the Resignation of Superintendent Lisa Allen Sac City Scroll: February 5, 2026 2 . 5 . 2026 Learn More about Sac City Scroll: February 5, 2026 Feb 19 Board of …",0,,1,ting Students Important Information about Diabetes and Your Student Mental Health Student Support Centers Student Support & Health Services Staff Directory Special Education Child Find Special Education Family Handbook Staff Directory Student Records SELPA About Parent Resources …
Santa Ana Unified School District,CA,https://www.sausd.us/,30,Minimal Transparency,https://www.sausd.us/non-discrimination-statement-and-policy,,https://www.sausd.us/community/community-schools/strategic-initiative-directory,Missing: tech (crawl limited),2,0,,0,,1,panded Learning Programs Early Education Programs Schools Elementary Intermediate High School Educational Options and Programs Social Media Directory School Accountability Report Cards (SARC) School Board Meet the Board Meetings & Minutes Meeting Videos-Livestream Administrative …,0,,1,k (opens in new window/tab) Twitter (opens in new window/tab) YouTube (opens in new window/tab) Instagram Santa Ana Unified School District Contact Us 714.558.5501 1601 East Chestnut Avenue Santa Ana CA 92701-6322 714.558.5610 Facebook (opens in new window/tab) Twitter (opens in …
Riverside Unified School District,CA,https://www.riversideunified.org/,30,Minimal Transparency,https://www.riversideunified.org/our-district/title-ix/policies-procedures-title-ix,,,Timed out (district budget exceeded),2,0,,0,,1,to Official Social Media Accounts RUSD News Safety & Security FAQs Raptor Visitor Management System Staff Directory Superintendent's Office Superintendent Llamas From Listening to Alignment: The First 100 Days Title IX Incident Report Form (opens in new window/tab) Policies & Pro…,0,,1,st Of All Schools Mission Values and Motto Official Social Media Accounts RUSD News Safety & Security FAQs Raptor Visitor Management System Staff Directory Superintendent's Office Superintendent Llamas From Listening to Alignment: The First 100 Days Title IX Incident Report Form …
Chula Vista Elementary School District,CA,https://www.cvesd.org/,30,Minimal Transparency,https://www.cvesd.org/district/board-of-education/board-policies-and-bylaws,,,"Missing: tech, contact (crawl limited)",2,0,,0,,1,tion Form News What's New Calendar Upcoming Opportunities School Calendars Events Schools MySchool Locator (opens in new window/tab) School Directory School Accountability Report Card Independent Study Program (ISP) Parents Annual Notifications ESignature Disclosure Pest Manageme…,0,,1,mmunity Ceremonial Flag Display Chula Vista Community Collaborative Community Partners Family Resource Centers Community Schools Harassment Contact Us Accessibility Visit Us Sitemap Department Directory District Home Students Parents Staff Intranet Portal (opens in new window/tab…
Anaheim Union High School District,CA,https://www.auhsd.us/,30,Minimal Transparency,https://www.auhsd.us/District/Department/14174-BOARD/80154-Board-Policies.html,https://www.auhsd.us//files/user/1/file/Technology-Agreement-2026-2027-All-Languages.pdf,https://www.auhsd.us//files/user/1/file/2025-26-District-Campus-&-Site-Directory-02.05.2026.pdf,,2,0,,0,,1,Alternative Education AUHSD Independent Studies Gilbert High School How To Find My School Resources & Bylaws District Campus & School Site Directory School Accountability Report Cards Schools’ Boundaries Social Media District Departments Board of Trustees Business Services Educat…,0,,1,ite Directory Education Protection Account Proposed Adopted Budget School Accountability Report Cards Board Board Members Board of Trustees Contact the Board Board Meetings Board Meeting Agendas & Minutes Board Policies Board Policies & Administrative Procedures Resources Board R…
San Jose Unified School District,CA,https://www.sjusd.org/,30,Minimal Transparency,https://www.sjusd.org/about/policies-regulations,,,"Missing: tech, contact (crawl limited)",2,0,,0,,1,"r who wish to file a complaint, should contact the following persons: For Title IX, discrimination or equity complaints involving students: Director of Student Services/Student Title IX Coordinator, Michelle Reghitto, 408-535-6080 , uniformcomplaint@sjusd.org , 855 Lenzen Avenue,…",0,,1,Join Our Team Resources In This Section Home Home pause slideshow play slideshow < > Image There are no resources or collections to display Contact Us (opens in new window/tab) Schools of Tomorrow Parent Portal Menus Calendar Community Rights LCAP UPCOMING EVENTS < February 2026 …
Fontana Unified School District,CA,https://www.fusd.net/,75,Emerging Governance,https://www.fusd.net/board-of-education-8b/fusd-board-of-education/board-policy-attachments,,,Timed out (district budget exceeded),4,1,est Practices Student Laptop Troubleshooting Keeping Your Laptop Updated Strategic Innovations Esports Digital Learning Wizards Wizard Wire AI Essentials Fontana School Police Department FLIP JR FLIP JR FLIP Program Policy & Procedures Military Equipment Mission Statement Active …,0,,1,"d Meetings (opens in new window/tab) Watch Archive Board Meetings (Previous to July 2023) (opens in new window/tab) Divisions Office of the Superintendent Family and Community Empowerment (FACE) & Inclusive Practices Marketing, Communications, and Engagement Event Galleries Black…",1,est Practices Student Laptop Troubleshooting Keeping Your Laptop Updated Strategic Innovations Esports Digital Learning Wizards Wizard Wire AI Essentials Fontana School Police Department FLIP JR FLIP JR FLIP Program Policy & Procedures Military Equipment Mission Statement Active …,1,"entation, or association with a person or group with one or more of these actual or perceived characteristics. For questions or complaints, contact Equity Compliance Officer: Craig Baker, Associate Superintendent, Student Services at 9680 Citrus Avenue, Fontana CA 92335 (909) 357…"
Moreno Valley Unified School District,CA,https://www.mvusd.net/,30,Minimal Transparency,https://www.mvusd.net/privacy-policy,,https://www.mvusd.net/directory,Missing: tech (crawl limited),2,0,,0,,1,ley Community Adult School Moreno Valley Online Bayside Community Day School Early Learning Academy Board Agendas (opens in new window/tab) Directory Care Portal ABOUT About Our District 11 Commitments Goals and Outcomes Local Control Accountability Plan (LCAP) (opens in new wind…,0,,1,an Resources Certificated Voluntary Transfers Classified Voluntary Transfers (opens in new window/tab) CSEA Collective Bargaining Agreement Contact Us Documents and Forms Employee Resource Guide Employment Verification Employment Job Descriptions MVEA Collective Bargaining Agreem…
Stockton Unified School District,CA,https://www.stocktonusd.net/,30,Minimal Transparency,https://www.stocktonusd.net/cell-phone-policy,,https://www.stocktonusd.net/staff-recognition,Missing: tech (crawl limited),2,0,,0,,1,vices & Resources Student Conduct Code (English/Spanish) Families in Transition Foster Youth Parent Handbook Volunteering Program Reference/Directory Title Coordinators 1 Million Project Hotspots & Home Laptops Lunch Menu ParentVue ParentSquare Student Resources Student Conduct C…,0,,1,ing Suicide Prevention Title IX Sexual Harassment Williams Uniform Complaint & Procedures Curriculum & Instruction Curriculum & Instruction Staff Directory Common Core State Standards District Adopted Curriculum Curriculum Resources Curriculum Assessment Dates Report Card Schedul…
Mount Diablo Unified School District,CA,https://www.mdusd.org/,30,Minimal Transparency,https://www.mdusd.org/about/board-policies,https://www.mdusd.org/departments/business-services/technology/teachers-staff,https://www.mdusd.org/departments/business-services/technology/teachers-staff,,2,0,,0,,1,"lations Public Hearings/Notices Redistricting of Existing Trustee Voting Area Board Vacancy Student Board Member Student Advisory Committee Superintendent News Departments Business Services Compliance, Audit and Reports Fiscal Services Payroll Accounts Payable & Receivable Budget…",0,,1,t and Reports Fiscal Services Payroll Accounts Payable & Receivable Budget Position Budgeting Developer Fee Budget Advisory Committee (BAC) Contact Us Food & Nutrition Services MENUS Catering Services Forms Farm to School In the News Nutrition Standards Wellness Policy Join Our T…
Sweetwater Union High School District,CA,https://www.sweetwaterschools.org/,30,Minimal Transparency,https://www.sweetwaterschools.org/privacy-policy,,https://www.sweetwaterschools.org/about-us/contact-us,Missing: tech (crawl limited),2,0,,0,,1,n Statement (opens in new window/tab) Departments Staff School Board Board Meeting Live Streams (opens in new window/tab) Agendas & Minutes Superintendent Data Security Students and Parents WishWell Programs Calendars SUHSD Calendar Student Calendars Adult Education Calendars Emp…,0,,1,School District Skip To Main Content Close Menu Search Clear Search Home About Us How to Enroll Mission and Belief Statements News & Events Contact Us Non-Discrimination Statement (opens in new window/tab) Departments Staff School Board Board Meeting Live Streams (opens in new wi…
San Dieguito Union High School District,CA,https://www.sduhsd.net/,30,Minimal Transparency,https://www.sduhsd.net/Our-District/About-Us-History/Boundaries-Map-/Policy--Exemptions/index.html,,https://www.sduhsd.net/Staff-Directory/,Missing: tech (crawl limited),2,0,,0,,1,strict Our District About Us/ History Boundaries Map Elementary Feeder Districts Policy & Exemptions School Board Trustee Area Map District Directory Board of Trustees Committees Meeting Agendas/Minutes 2025-2026 2024-2025 2023-2024 2022-2023 2021-2022 2020-2021 2019-2020 2018-20…,0,,1,10 Innovative Middle & High Schools 449M Bond Project Modernization Board Meetings OPEN LINK Board Policies OPEN LINK Enrollment OPEN LINK Staff Directory OPEN LINK Office Locations OPEN LINK Aeries OPEN LINK Staff Start OPEN LINK Calendar OPEN LINK San Dieguito Union High School…
Folsom Cordova Unified School District,CA,https://www.fcusd.org/,30,Minimal Transparency,https://www.fcusd.org/district/about-us/nondiscrimination-statementpolicy,,https://www.fcusd.org/educational-services/academics/elementary-education/elementary-music-art-physical-education/music-staff-directory,Missing: tech (crawl limited),2,0,,0,,1,"hedules Music Student Supply Lists Instruments - Rent, Purchase Music Class Options Returning Loaned Instruments Elementary Art Music Staff Directory Course Advisory Committee (CAC) Transitional Kindergarten Transitional Kindergarten (TK) is Expanding Supplemental Materials Proce…",0,,1,"s & Schedules Music Student Supply Lists Instruments - Rent, Purchase Music Class Options Returning Loaned Instruments Elementary Art Music Staff Directory Course Advisory Committee (CAC) Transitional Kindergarten Transitional Kindergarten (TK) is Expanding Supplemental Materials…"
Roseville City School District,CA,https://www.rcsdk8.org/,30,Minimal Transparency,https://www.rcsdk8.org/policies-and-required-notices,https://www.rcsdk8.org/technology-services,https://www.rcsdk8.org/contact-us,,2,0,,0,,1,seville City School District Schools Translate Calendar Search Menu More options Schools Translate Calendar Our District Board of Education Superintendent Departments Maintenance & Facilities Purchasing Services Educational Technology Plan Roseville City School District Foundatio…,0,,1,"for Current Employees Connect Contact Us ParentSquare Peachjar (Flyers) Volunteer Realtors Social Media Information Requests District News Staff Directory Notice December 16, 2024 Registration for the 2026-27 school year is now live! Click ""Read More"" to be taken to our Registrat…"
Placentia-Yorba Linda Unified School District,CA,https://www.pylusd.org/,30,Minimal Transparency,,,,"Missing: policy, tech, contact (crawl limited)",2,0,,0,,1,s Elementary Schools Middle Schools High Schools Alternative Schools Preschools Find Your School Boundary Maps Feeder School Pattern School Directory School Accountability Report Cards School Plans for Student Achievement District Business Services Early & Expanded Learning Educa…,0,,1,orba Linda Unified School District Main Menu Toggle About Us 2025-2026 School Bell Schedules Accessibility Bond Measures Community Partners Contact Us Corporate Gift Matching District Maps Enroll Today! Good News Report History Homeless Assistance Local Control and Accountability…
Poway Unified School District,CA,https://www.powayusd.com/,10,No Public AI Governance Signals,https://www.powayusd.com/apps/pages/uniform-complaint-policies-and-procedures,,https://www.powayusd.com/apps/contact/,Missing: tech (crawl limited),1,0,,0,,0,,0,,1,"Poway Unified School District 15250 Avenue of Science, San Diego, CA 92128 (858) 521-2800 Edlio Login Powered by Edlio Mobile Footer Links Staff Directory Calendar News Contact Uniform Complaint Policies & Procedures - Personnel Support Services - Poway Unified School District Sk…"
Saddleback Valley Unified School District,CA,https://www.svusd.org/,30,Minimal Transparency,https://www.svusd.org/board/board-of-education,,https://www.svusd.org/i-want-to/know-who-to-contact,Missing: tech (crawl limited),2,0,,0,,1,Home | Saddleback Valley Unified School District Search: Search About About SVUSD Assessment and Accountability Directory Mission Registration School Accountability Report Card (SARC) (opens in new window/tab) School Boundaries Board Board of Education Board Policies (opens in ne…,0,,1,Permits (opens in new window/tab) I Want To Enroll My Child Find My Child's School Go to Absence Management Go to Family Portal Know who to contact Rent a Facility Request a transcript Request a transfer View job opportunities Volunteer Jobs (opens in new window/tab) District Boa…
Conejo Valley Unified School District,CA,https://www.conejousd.org/,30,Minimal Transparency,https://www.conejousd.org/board-of-education/policies-regulations,,https://www.conejousd.org/for-staff/staff-resources,Missing: tech (crawl limited),2,0,,0,,1,Park and Westlake Village. About Us CVUSD Strategic Plans Our Schools 50 Years of CVUSD District Directories Organizational Charts Schools Directory Schools Schools At CVUSD we have a right fit for every family and we believe each child has unique gifts to discover. Our students …,0,,1,"eting agendas by using the Schedule of Meetings module on the right-hand side of the webpage and selecting the desired meeting date. Please contact Sheri Fehlman in the Superintendent’s Office at (805) 497-9511, extension 1101, if you have any questions regarding Board agendas or…"
Irvine Unified School District,CA,https://www.iusd.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Newport-Mesa Unified School District,CA,https://www.nmusd.us/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Huntington Beach Union High School District,CA,https://hbuhsd.edu/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Ventura Unified School District,CA,https://www.venturausd.org/,10,No Public AI Governance Signals,https://www.venturausd.org/about/board-policies,,https://www.venturausd.org/about/contact-us,Missing: tech (crawl limited),1,0,,0,,0,,0,,1,s Human Resources Negotiations Negotiations 24-25 Certificated Classified Negotiations 25-26 ParentSquare Sign In (opens in new window/tab) Staff Directory Staff Intranet (opens in new window/tab) Staff Resources Interpretation and Translation Services Students Academic Resources…
